Categoria,Subcategoria,Fato_Ou_Resposta
Jogadores,Lenda,"Friedenreich: El Tigre. O primeiro grande craque brasileiro (anos 1910)."
História,Copas,"Copa de 1958 (Suécia): O Brasil ganha seu 1º título. Pelé (17 anos) e Garrincha encantam o mundo."
História,Copas,"Copa de 1962 (Chile): Bicampeão. Pelé se machuca e Garrincha comanda o título."
História,Copas,"Copa de 1970 (México): Tricampeão. O time de Pelé, Tostão, Gérson, Jairzinho e Rivellino é considerado o melhor de todos os tempos."
História,Copas,"Copa de 1994 (EUA): Tetracampeão nos pênaltis contra a Itália. Romário foi o craque."
História,Copas,"Copa de 2002 (Japão/Coreia): Pentacampeão. Ronaldo Fenômeno faz 2 gols na final contra a Alemanha."
História,Tragédia,"Maracanazo (1950): Derrota trágica para o Uruguai na final da Copa no Brasil."
História,Tragédia,"7 a 1 (2014): Derrota humilhante para a Alemanha na semifinal da Copa no Brasil."
Feminino,Rainha,"Marta é a Rainha do Futebol. 6 vezes melhor do mundo. Maior artilheira de todas as Copas."
Feminino,Lenda,"Formiga é a recordista de participações em Copas (7) e Olimpíadas."
Feminino,Artilheira,"Cristiane é a artilheira histórica das Olimpíadas."
Técnicos,Lenda,"Zagallo: Mário Jorge Lobo Zagallo. O 'Velho Lobo'. Único tetracampeão do mundo (58/62 como jogador, 70 como técnico, 94 como coordenador)."
Técnicos,Lenda,"Telê Santana: O Mestre do 'Jogo Bonito'. Comandou as mágicas Seleções de 1982 e 1986. Priorizava o futebol arte."
Técnicos,Lenda,"Luiz Felipe Scolari (Felipão): Técnico do Penta em 2002. Conhecido pelo estilo paizão e motivador (Família Scolari)."
Técnicos,Lenda,"Carlos Alberto Parreira: Técnico do Tetra em 1994. Conhecido pelo estilo tático, organizado e defensivamente sólido."
Técnicos,Lenda,"Tite: Adenor Leonardo Bachi. Comandou o Brasil nas Copas de 2018 e 2022. Teve um ciclo de 6 anos com alto aproveitamento."
Técnicos,Lenda,"Vicente Feola: Técnico do primeiro título mundial em 1958. Apostou no jovem Pelé de 17 anos."
Estatísticas,Artilheiros,"Top 5 Artilheiros Oficiais: 1. Neymar (79 gols), 2. Pelé (77 gols), 3. Ronaldo Fenômeno (62 gols), 4. Romário (55 gols), 5. Zico (48 gols)."
Estatísticas,Atuações,"Top 5 Jogadores com mais jogos: 1. Cafu (150 jogos), 2. Neymar (128 jogos), 3. Daniel Alves (126 jogos), 4. Roberto Carlos (125 jogos), 5. Thiago Silva (113 jogos)."
Cultura,Mascote,"Canarinho: O mascote oficial da Seleção. Ganhou fama mundial na Copa de 2018 com a versão 'Canarinho Pistola' (rosto bravo)."
Cultura,Uniforme,"Origem da Amarelinha: O Brasil jogava de branco até 1950. Após o Maracanazo, houve um concurso em 1953 vencido por Aldyr Schlee, criando a camisa amarelo-ouro."
Cultura,Apelidos,"Apelidos da Seleção: Seleção Canarinho, Verde-Amarela, Esquadrão de Ouro, Pentacampeões."
Infraestrutura,Treino,"Granja Comary: O centro de treinamento oficial da Seleção Brasileira, localizado em Teresópolis, região serrana do Rio de Janeiro."
Rivalidade,Argentina,"Brasil x Argentina: O 'Superclássico das Américas'. Maior rivalidade do continente. Jogos históricos incluem a 'Água Batizada' de 90 e a final da Copa América 2004."
Rivalidade,Uruguai,"Brasil x Uruguai: Clássico marcado pelo 'Maracanazo' de 1950. O Uruguai é conhecido pela 'Celeste Olímpica'."
Títulos,Copa América,"Copa América: O Brasil possui 9 títulos (1919, 1922, 1949, 1989, 1997, 1999, 2004, 2007, 2019)."
Títulos,Confederações,"Copa das Confederações: O Brasil é o maior vencedor da história com 4 títulos (1997, 2005, 2009, 2013)."
Prêmios,Melhor do Mundo,"Romário: Eleito o Melhor Jogador do Mundo pela FIFA em 1994, ano do Tetra."
Prêmios,Melhor do Mundo,"Ronaldo Fenômeno: Eleito 3 vezes o Melhor do Mundo pela FIFA (1996, 1997 e 2002)."
Prêmios,Melhor do Mundo,"Rivaldo: Eleito o Melhor do Mundo pela FIFA e Bola de Ouro em 1999."
Prêmios,Melhor do Mundo,"Ronaldinho Gaúcho: Eleito 2 vezes consecutivas o Melhor do Mundo pela FIFA (2004 e 2005), auge da magia."
Prêmios,Melhor do Mundo,"Kaká: Eleito o Melhor do Mundo pela FIFA em 2007. O último brasileiro a vencer antes da era Messi/Cristiano."
Liderança,Capitães,"Capitão de 1958: Bellini. Zagueiro que eternizou o gesto de erguer a taça sobre a cabeça."
Liderança,Capitães,"Capitão de 1962: Mauro Ramos. Zagueiro clássico que ergueu a taça do Bi no Chile."
Liderança,Capitães,"Capitão de 1970: Carlos Alberto Torres. O 'Capita' levantou a taça do Tri no México."
Liderança,Capitães,"Capitão de 1994: Dunga. Volante de raça que ergueu a taça do Tetra nos EUA."
Liderança,Capitães,"Capitão de 2002: Cafu. Lateral direito que ergueu a taça do Penta no Japão, quebrando o protocolo ao subir no púlpito."
Estádios,Templos,"Maracanã: O Templo do Futebol. Palco da final de 1950 (tragédia) e dos ouros olímpicos de 2016 e Copa América de 1989 e 2019."
Estádios,Templos,"Mineirão: Estádio em Belo Horizonte, palco de grandes jogos, mas marcado pelo 7x1 em 2014."
Curiosidades,Troféu,"Taça Jules Rimet: O primeiro troféu da Copa. O Brasil ganhou a posse definitiva após o Tri em 1970, mas ela foi roubada e derretida no Rio de Janeiro em 1983."
Institucional,CBF,"CBF: Confederação Brasileira de Futebol. Fundada em 1914, é a entidade máxima que organiza a Seleção e os campeonatos nacionais."
Rivalidade,Carrascos,"Zinedine Zidane (França): O maior carrasco moderno. Venceu o Brasil na final de 1998 (fez 2 gols) e eliminou a seleção nas quartas de 2006 com uma atuação de gala."
Rivalidade,Carrascos,"Paolo Rossi (Itália): O carrasco da 'Tragédia do Sarriá' em 1982. Marcou os 3 gols da vitória italiana por 3x2, eliminando um dos melhores times da história."
Rivalidade,Carrascos,"Alcides Ghiggia (Uruguai): Autor do gol do título uruguaio no Maracanazo em 1950, calando 200 mil pessoas."
Rivalidade,Carrascos,"Thierry Henry (França): Marcou o gol da eliminação do Brasil na Copa de 2006, após falha de marcação de Roberto Carlos."
Momentos,Lances,"O Gol que Pelé não fez: O drible de corpo sem tocar na bola no goleiro Mazurkiewicz na semifinal de 1970 contra o Uruguai. A bola passou raspando a trave."
Momentos,Lances,"A defesa do século: Gordon Banks (Inglaterra) parou uma cabeçada perfeita de Pelé na Copa de 1970. Considerada a maior defesa da história das Copas."
Momentos,Gols,"Gol de Placa: Termo criado após um gol de Pelé pelo Santos no Maracanã em 1961. Foi tão bonito que ganhou uma placa física no estádio."
Momentos,Gols,"Gol Espírita: O gol de falta de Ronaldinho Gaúcho contra a Inglaterra em 2002. Ele chutou de muito longe, encobrindo o goleiro Seaman."
Momentos,Gols,"O Gol de Carlos Alberto (1970): O 4º gol na final contra a Itália. O passe cego de Pelé e a bomba do capitão simbolizam o 'futebol arte' coletivo."
Cultura,Superstição,"Zagallo e o 13: O Velho Lobo tinha obsessão pelo número 13 (devoto de Santo Antônio). Frases como 'Brasil Campeão' têm 13 letras."
Recordes,Geral,"Cafu é o único jogador da história do futebol mundial a disputar três finais de Copa do Mundo consecutivas (1994, 1998 e 2002)."
Recordes,Geral,"Zagallo é a única pessoa tetracampeã do mundo: 1958 e 1962 (jogador), 1970 (técnico) e 1994 (coordenador técnico)."
Recordes,Idade,"Pelé é o jogador mais jovem a marcar um gol em final de Copa do Mundo (17 anos e 249 dias em 1958)."
Recordes,Idade,"Thiago Silva se tornou o jogador mais velho a atuar e capitanear o Brasil em uma Copa do Mundo em 2022 (38 anos)."
Polêmicas,1998,"A Convulsão de Ronaldo: Horas antes da final da Copa de 98 contra a França, Ronaldo Fenômeno teve uma convulsão na concentração. Ele foi escalado de última hora, mas o Brasil perdeu por 3x0, gerando muitas teorias da conspiração."
Polêmicas,1978,"Campeão Moral: Em 1978, o Brasil terminou invicto, mas não foi campeão. A Argentina se classificou para a final após golear o Peru por 6x0 num jogo muito suspeito. O técnico Cláudio Coutinho declarou o Brasil 'Campeão Moral'."
Polêmicas,Cortes,"O Corte de Romário (1998/2002): Romário foi cortado da Copa de 98 por lesão (chorou na coletiva) e não foi convocado por Felipão em 2002 por disciplina, gerando comoção nacional."
Cultura,Músicas,"Hino de 58: 'A taça do mundo é nossa / Com brasileiro, não há quem possa...'. Música tema do primeiro título."
Cultura,Músicas,"Hino de 70: 'Pra frente Brasil / Salve a Seleção...'. Música que embalou o Tricampeonato no México."
Cultura,Frases,"Zagallo (1997): 'Vocês vão ter que me engolir!'. Frase dita após ganhar a Copa América sob fortes críticas da imprensa."
Cultura,Frases,"Parreira (1994): 'O gol é apenas um detalhe'. Frase atribuída ao estilo defensivo e pragmático do Tetra (embora ele negue ter dito exatamente assim)."
Cultura,Frases,"Ronaldo (2002): O corte 'Cascão'. Ronaldo fez um corte de cabelo bizarro na semifinal de 2002 para desviar o foco da imprensa sobre sua lesão na perna. Funcionou."
Recordes,Artilheiros em Copas,"Ademir de Menezes (1950): Artilheiro da Copa com 9 gols."
Recordes,Artilheiros em Copas,"Garrincha e Vavá (1962): Artilheiros da Copa com 4 gols cada."
Recordes,Artilheiros em Copas,"Jairzinho (1970): Único jogador a marcar gols em todos os jogos de uma Copa (7 gols)."
Recordes,Artilheiros em Copas,"Ronaldo (2002): Artilheiro da Copa com 8 gols, a maior marca desde 1970."
Curiosidades,Superstição,"A camisa azul: O Brasil usou a camisa azul nas finais de 1958, 1994 e 2002 (contra Suécia, Itália e Alemanha). Venceu todas. A cor é associada ao manto de Nossa Senhora Aparecida."
Cultura,Música,"Hino de 1958: 'A taça do mundo é nossa / Com brasileiro, não há quem possa...'. Marcou o primeiro título."
Cultura,Música,"Hino de 1970: 'Pra frente Brasil / Salve a Seleção...'. A música que embalou o Tri no México."
Cultura,Música,"Samba de 82: 'Voa Canarinho'. Samba gravado pelo lateral Júnior que virou febre nacional, apesar da derrota na Espanha."
Cultura,Música,"Tema de 2002: 'Festa' da Ivete Sangalo. Foi a música não-oficial que os jogadores cantavam no ônibus do Penta."
Cultura,Mascote,"Fuleco: O mascote da Copa de 2014 no Brasil. Um tatu-bola que representava a fauna brasileira e a ecologia."
Cultura,Mascote,"Canarinho Pistola: Versão 'brava' do mascote lançada em 2016. Virou meme mundial pela cara de poucos amigos e sucesso com a torcida."
Frases,Romário,"Polêmica: 'O Pelé calado é um poeta'. Frase dita por Romário em 2005 rebatendo críticas do Rei."
Frases,Romário,"Autoconfiança: 'Quando eu nasci, papai do céu apontou o dedo e disse: esse é o cara'."
Frases,Zagallo,"Desabafo: 'Vocês vão ter que me engolir!'. Dito após a final da Copa América de 1997, calando os críticos."
Frases,Cafu,"Homenagem: '100% Jardim Irene'. Frase escrita na camisa do capitão Cafu ao erguer a taça em 2002, lembrando de seu bairro de origem."
Frases,Tite,"Titebilidade: O técnico Tite ficou famoso por termos difíceis como 'treinabilidade', 'externos desequilibrantes' e 'homem terminal'."
Frases,Felipão,"Família Scolari: Termo usado para definir a união fechada do grupo campeão de 2002, onde o técnico protegia os jogadores como um pai."
Curiosidades,Apelido,"Imperador: Adriano recebeu esse apelido na Itália pela força física e domínio no ataque."
Curiosidades,Apelido,"Dinamite: Roberto Dinamite. Maior ídolo do Vasco, jogou as Copas de 78 e 82. O apelido veio da força do seu chute."
Curiosidades,Superstição,"Garrincha e o 'João': Garrincha chamava todos os seus marcadores laterais de 'João', não importava o nome deles. Para ele, eram todos iguais."
Tática,1958,"O 4-2-4 Revolucionário: Vicente Feola inovou com linha de 4 atacantes, mas Zagallo recuava para compor o meio, criando um 4-3-3 dinâmico."
Tática,1970,"Os Cinco Camisas 10: Zagallo conseguiu escalar Gérson, Rivellino, Tostão, Pelé e Jairzinho juntos. Não tinham posição fixa, era o auge do 'Futebol Arte'."
Tática,1982,"Futebol Arte sem Título: O time de Telê Santana jogava por música com Cerezo, Falcão, Sócrates e Zico no meio-campo. Encantou o mundo, mas perdeu."
Tática,1994,"O Pragmatismo: Parreira apostou na defesa sólida e no contra-ataque, deixando a criatividade quase exclusiva para a dupla Bebeto e Romário."
Tática,2002,"O 3-5-2 do Felipão: Três zagueiros (Lúcio, Edmílson, Roque Júnior) davam liberdade total para Cafu e Roberto Carlos voarem nas alas."
História,Olimpíadas 2016,"Rio 2016: O primeiro Ouro veio em casa, no Maracanã. Neymar marcou de falta no tempo normal e fez o pênalti do título contra a Alemanha."
História,Olimpíadas 2020,"Tóquio 2020: O Bicampeonato Olímpico veio com vitória sobre a Espanha por 2x1 na prorrogação, com gol decisivo de Malcom."
Curiosidades,Decepção,"Quadrado Mágico (2006): O quarteto ofensivo formado por Ronaldo, Adriano, Kaká e Ronaldinho Gaúcho chegou como favorito absoluto, mas jogou mal e caiu para a França."
Curiosidades,Zebra,"Copa de 1966: Chegando como Bicampeão, o Brasil foi eliminado na fase de grupos (pior campanha da história), perdendo para Hungria e Portugal. Pelé foi caçado em campo."
Estatísticas,Invencibilidade,"Campeões Invictos: O Brasil foi campeão mundial sem perder nenhum jogo nas copas de 1958, 1962, 1970, 1994 e 2002 (nesta última, venceu 100% dos jogos)."
História,Injustiça,"Barbosa: Goleiro de 1950. Foi crucificado pela opinião pública pela derrota no Maracanazo e carregou a culpa por 50 anos, apesar de ter sido um dos maiores goleiros da época."
Estatísticas,Dupla Invencível,"Pelé e Garrincha: Quando os dois jogaram juntos pela Seleção, o Brasil NUNCA perdeu uma partida. Foram 40 jogos, com 36 vitórias e 4 empates."
Dramas,Lesão 2014,"A lesão de Neymar (2014): Nas quartas de final, o colombiano Zúñiga deu uma joelhada nas costas de Neymar, fraturando sua vértebra e tirando-o da Copa antes do desastre do 7 a 1."
Rivalidade,Polêmica,"Água Batizada (1990): Nas oitavas da Copa de 90 contra a Argentina, o lateral Branco bebeu água oferecida pela equipe rival e passou mal. Anos depois, Maradona insinuou que havia tranquilizante na garrafa."
Recordes,Soberania,"Presença Perfeita: O Brasil é o único país do mundo que participou de TODAS as edições da Copa do Mundo FIFA (de 1930 até hoje)."
Curiosidades,Apelido,"Seleção Canarinho: O apelido surgiu em 1954, criado pelo locutor Geraldo José de Almeida, por causa da nova camisa amarela e do canto dos jogadores."
Curiosidades,Amuleto,"Zagallo e o número 13: O Velho Lobo era devoto de Santo Antônio (dia 13/06). Ele via o 13 em tudo: 'Brasil Campeão' tem 13 letras, a final de 94 foi nos EUA (13 letras para Estados Unidos da América? Não, ele contava as letras das frases de motivação)."
História,Tabu,"Fim da Invencibilidade em Casa: O Brasil nunca havia perdido um jogo de Eliminatórias jogando em casa na história, até a derrota por 1x0 para a Argentina no Maracanã em 21 de novembro de 2023."
Curiosidades,Técnicos,"Filpo Núñez: Antes da era moderna, foi o único estrangeiro a dirigir a Seleção principal oficialmente (por um jogo) em 1965. Era argentino e treinava o Palmeiras, que representou o Brasil na época."
Títulos,Ilusão,"A Ilusão de 2013: O Brasil venceu a Espanha (então campeã mundial) por 3x0 no Maracanã na final da Copa das Confederações, criando uma euforia excessiva que antecedeu o desastre de 2014."
História,Jejum,"O Fim da Seca (1989): O Brasil ficou 40 anos sem ganhar a Copa América. Romário fez o gol do título contra o Uruguai no Maracanã em 1989 (dia 16 de julho, mesma data do Maracanazo), exorcizando fantasmas."
Cultura,Narração,"É Tetra!: O grito rouco de Galvão Bueno abraçado a Pelé na final de 1994 se tornou a narração mais icônica da história da TV brasileira."
Cultura,Comemoração,"Embala Neném (1994): Bebeto fez um gol contra a Holanda e comemorou fingindo balançar um bebê (seu filho Mattheus tinha acabado de nascer). Romário e Mazinho se juntaram a ele na coreografia."
Recordes,Geral,"Cafu e os cartões: Cafu é o jogador que mais vezes recebeu cartão amarelo em Copas do Mundo pela Seleção (6 vezes), reflexo de sua intensidade e longevidade (4 Copas)."
